"Subject" "space" "frame" "device" "jerk" "magnitude" "statistic" "axis" "avg_value"
1 "f" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.499075765624092
1 "f" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.541823079570029
1 "f" "Body" "Acc" "Jerk" "NA" "mean" "X" -0.547348892435764
1 "f" "Body" "Acc" "Jerk" "NA" "mean" "Y" -0.507343617969859
1 "f" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.695305113832853
1 "f" "Body" "Acc" "Jerk" "NA" "std" "X" -0.543979776127867
1 "f" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.466251676533372
1 "f" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.737861932680115
1 "f" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.478448523354179
1 "f" "Body" "Acc" "NA" "Mag" "std" "NA" -0.589710231217867
1 "f" "Body" "Acc" "NA" "NA" "mean" "X" -0.531895161258213
1 "f" "Body" "Acc" "NA" "NA" "mean" "Y" -0.406435448904438
1 "f" "Body" "Acc" "NA" "NA" "mean" "Z" -0.596411165253602
1 "f" "Body" "Acc" "NA" "NA" "std" "X" -0.553060616663401
1 "f" "Body" "Acc" "NA" "NA" "std" "Y" -0.390150939647061
1 "f" "Body" "Acc" "NA" "NA" "std" "Z" -0.498583091676081
1 "f" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.645970655298847
1 "f" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.685811262634006
1 "f" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.535002770337752
1 "f" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.566576670397695
1 "f" "Body" "Gyro" "NA" "NA" "mean" "X" -0.623219182311527
1 "f" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.505309434070029
1 "f" "Body" "Gyro" "NA" "NA" "mean" "Z" -0.553529065425648
1 "f" "Body" "Gyro" "NA" "NA" "std" "X" -0.708263420861671
1 "f" "Body" "Gyro" "NA" "NA" "std" "Y" -0.429825832648703
1 "f" "Body" "Gyro" "NA" "NA" "std" "Z" -0.650476162132565
1 "t" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.545431612066571
1 "t" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.515922167555159
1 "t" "Body" "Acc" "Jerk" "NA" "mean" "X" 0.0770930495126801
1 "t" "Body" "Acc" "Jerk" "NA" "mean" "Y" 0.0165908438802305
1 "t" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.00910758730117003
1 "t" "Body" "Acc" "Jerk" "NA" "std" "X" -0.524721922818732
1 "t" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.470412403511239
1 "t" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.717322274881844
1 "t" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.453632943768818
1 "t" "Body" "Acc" "NA" "Mag" "std" "NA" -0.497096402038329
1 "t" "Body" "Acc" "NA" "NA" "mean" "X" 0.265696920582133
1 "t" "Body" "Acc" "NA" "NA" "mean" "Y" -0.0182981725176081
1 "t" "Body" "Acc" "NA" "NA" "mean" "Z" -0.10784573454611
1 "t" "Body" "Acc" "NA" "NA" "std" "X" -0.545795331328326
1 "t" "Body" "Acc" "NA" "NA" "std" "Y" -0.367716218227378
1 "t" "Body" "Acc" "NA" "NA" "std" "Z" -0.502645746562824
1 "t" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.639517432642651
1 "t" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.652050770910663
1 "t" "Body" "Gyro" "Jerk" "NA" "mean" "X" -0.0971120197265994
1 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Y" -0.0417164808293948
1 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Z" -0.0471393985477522
1 "t" "Body" "Gyro" "Jerk" "NA" "std" "X" -0.637812687210375
1 "t" "Body" "Gyro" "Jerk" "NA" "std" "Y" -0.634472244550432
1 "t" "Body" "Gyro" "Jerk" "NA" "std" "Z" -0.664591977786455
1 "t" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.475404785802305
1 "t" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.499839593745821
1 "t" "Body" "Gyro" "NA" "NA" "mean" "X" -0.0208764064320173
1 "t" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.0880722729400576
1 "t" "Body" "Gyro" "NA" "NA" "mean" "Z" 0.0862641666597983
1 "t" "Body" "Gyro" "NA" "NA" "std" "X" -0.686555715201729
1 "t" "Body" "Gyro" "NA" "NA" "std" "Y" -0.450979810499568
1 "t" "Body" "Gyro" "NA" "NA" "std" "Z" -0.597496136795101
1 "t" "Gravity" "Acc" "NA" "Mag" "mean" "NA" -0.453632943768818
1 "t" "Gravity" "Acc" "NA" "Mag" "std" "NA" -0.497096402038329
1 "t" "Gravity" "Acc" "NA" "NA" "mean" "X" 0.744867411573487
1 "t" "Gravity" "Acc" "NA" "NA" "mean" "Y" -0.0825562579855908
1 "t" "Gravity" "Acc" "NA" "NA" "mean" "Z" 0.072339870389049
1 "t" "Gravity" "Acc" "NA" "NA" "std" "X" -0.959859435936599
1 "t" "Gravity" "Acc" "NA" "NA" "std" "Y" -0.951150627458213
1 "t" "Gravity" "Acc" "NA" "NA" "std" "Z" -0.925817590867435
2 "f" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.509746432970861
2 "f" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.518800797709272
2 "f" "Body" "Acc" "Jerk" "NA" "mean" "X" -0.561682049622185
2 "f" "Body" "Acc" "Jerk" "NA" "mean" "Y" -0.50890379901457
2 "f" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.715745330403973
2 "f" "Body" "Acc" "Jerk" "NA" "std" "X" -0.595105612895033
2 "f" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.509147543673841
2 "f" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.767087015496689
2 "f" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.514569861316887
2 "f" "Body" "Acc" "NA" "Mag" "std" "NA" -0.646662308457285
2 "f" "Body" "Acc" "NA" "NA" "mean" "X" -0.57377091142947
2 "f" "Body" "Acc" "NA" "NA" "mean" "Y" -0.432566581302351
2 "f" "Body" "Acc" "NA" "NA" "mean" "Z" -0.630081222124834
2 "f" "Body" "Acc" "NA" "NA" "std" "X" -0.619788102803311
2 "f" "Body" "Acc" "NA" "NA" "std" "Y" -0.464723862913245
2 "f" "Body" "Acc" "NA" "NA" "std" "Z" -0.600678614835099
2 "f" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.751615078360927
2 "f" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.744194981440397
2 "f" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.699742945221854
2 "f" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.725310337688742
2 "f" "Body" "Gyro" "NA" "NA" "mean" "X" -0.638717694593046
2 "f" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.722068978635762
2 "f" "Body" "Gyro" "NA" "NA" "mean" "Z" -0.601594889654305
2 "f" "Body" "Gyro" "NA" "NA" "std" "X" -0.734588540182119
2 "f" "Body" "Gyro" "NA" "NA" "std" "Y" -0.72716774102649
2 "f" "Body" "Gyro" "NA" "NA" "std" "Z" -0.683114494539735
2 "t" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.58777744543543
2 "t" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.512115278415232
2 "t" "Body" "Acc" "Jerk" "NA" "mean" "X" 0.0785353156747351
2 "t" "Body" "Acc" "Jerk" "NA" "mean" "Y" 0.00708771249764901
2 "t" "Body" "Acc" "Jerk" "NA" "mean" "Z" 0.000755760748377483
2 "t" "Body" "Acc" "Jerk" "NA" "std" "X" -0.557809603123841
2 "t" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.491875889831788
2 "t" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.741885388311258
2 "t" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.535281800541722
2 "t" "Body" "Acc" "NA" "Mag" "std" "NA" -0.552812545643709
2 "t" "Body" "Acc" "NA" "NA" "mean" "X" 0.273113115788079
2 "t" "Body" "Acc" "NA" "NA" "mean" "Y" -0.0191323183174834
2 "t" "Body" "Acc" "NA" "NA" "mean" "Z" -0.115649958175497
2 "t" "Body" "Acc" "NA" "NA" "std" "X" -0.605586497159271
2 "t" "Body" "Acc" "NA" "NA" "std" "Y" -0.428962986589404
2 "t" "Body" "Acc" "NA" "NA" "std" "Z" -0.589360062210596
2 "t" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.746559539039735
2 "t" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.740088733655629
2 "t" "Body" "Gyro" "Jerk" "NA" "mean" "X" -0.0875587491668874
2 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Y" -0.0433986835453642
2 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Z" -0.0557541828188742
2 "t" "Body" "Gyro" "Jerk" "NA" "std" "X" -0.671679103311258
2 "t" "Body" "Gyro" "Jerk" "NA" "std" "Y" -0.783595466728477
2 "t" "Body" "Gyro" "Jerk" "NA" "std" "Z" -0.674611933293046
2 "t" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.614771054893146
2 "t" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.680584887880795
2 "t" "Body" "Gyro" "NA" "NA" "mean" "X" -0.0517030657821192
2 "t" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.0568420186817881
2 "t" "Body" "Gyro" "NA" "NA" "mean" "Z" 0.0872599422291391
2 "t" "Body" "Gyro" "NA" "NA" "std" "X" -0.710648927815894
2 "t" "Body" "Gyro" "NA" "NA" "std" "Y" -0.722943674337748
2 "t" "Body" "Gyro" "NA" "NA" "std" "Z" -0.634888927843046
2 "t" "Gravity" "Acc" "NA" "Mag" "mean" "NA" -0.535281800541722
2 "t" "Gravity" "Acc" "NA" "Mag" "std" "NA" -0.552812545643709
2 "t" "Gravity" "Acc" "NA" "NA" "mean" "X" 0.660782866688742
2 "t" "Gravity" "Acc" "NA" "NA" "mean" "Y" -0.147219886910411
2 "t" "Gravity" "Acc" "NA" "NA" "mean" "Z" 0.134865335090728
2 "t" "Gravity" "Acc" "NA" "NA" "std" "X" -0.963015508245033
2 "t" "Gravity" "Acc" "NA" "NA" "std" "Y" -0.960033560165563
2 "t" "Gravity" "Acc" "NA" "NA" "std" "Z" -0.945365383907285
3 "f" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.604752108072727
3 "f" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.615643694857361
3 "f" "Body" "Acc" "Jerk" "NA" "mean" "X" -0.645893496630499
3 "f" "Body" "Acc" "Jerk" "NA" "mean" "Y" -0.582949919157742
3 "f" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.780101644193548
3 "f" "Body" "Acc" "Jerk" "NA" "std" "X" -0.657844055881525
3 "f" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.559851186088408
3 "f" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.81080601659824
3 "f" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.579076453758064
3 "f" "Body" "Acc" "NA" "Mag" "std" "NA" -0.663079838985044
3 "f" "Body" "Acc" "NA" "NA" "mean" "X" -0.625733289873607
3 "f" "Body" "Acc" "NA" "NA" "mean" "Y" -0.501779938505279
3 "f" "Body" "Acc" "NA" "NA" "mean" "Z" -0.699656828592375
3 "f" "Body" "Acc" "NA" "NA" "std" "X" -0.623805015199413
3 "f" "Body" "Acc" "NA" "NA" "std" "Y" -0.502753639795894
